기능,파일,줄,현재값,종류,권장토큰,분류,ΔE,코드
_components(공통),src/components/feedback/ComingSoonScreen.tsx,48,#F1F1F1,hex,neutralGray,유사색-확인필요,1.9,"borderBottomColor: '#F1F1F1',"
_components(공통),src/components/feedback/ComingSoonScreen.tsx,83,#FFF1EA,hex,primarySoft,유사색-확인필요,1.0,"backgroundColor: '#FFF1EA',"
auth,src/features/auth/components/AuthBrand.tsx,54,#A95620,hex,orangeIcon,토큰없음,26.3,"color: '#A95620',"
auth,src/features/auth/components/AuthBrand.tsx,64,#A45A2A,hex,orangeIcon,토큰없음,29.3,"color: '#A45A2A',"
auth,src/features/auth/components/ChoiceChip.tsx,26,#18967C,hex,secondary,토큰없음,11.6,{icon && <Ionicons color={selected ? '#18967C' : '#55504D'} name={icon} size={20} />}
auth,src/features/auth/components/ChoiceChip.tsx,26,#55504D,hex,textPrimary,토큰없음,13.5,{icon && <Ionicons color={selected ? '#18967C' : '#55504D'} name={icon} size={20} />}
auth,src/features/auth/components/ChoiceChip.tsx,36,#E6E4E2,hex,divider,유사색-확인필요,1.3,"borderColor: '#E6E4E2',"
auth,src/features/auth/components/ChoiceChip.tsx,49,#EEFBF7,hex,mintBg,유사색-확인필요,1.4,"backgroundColor: '#EEFBF7',"
auth,src/features/auth/components/ChoiceChip.tsx,50,#45BFA4,hex,mintIcon,근접-판단필요,6.2,"borderColor: '#45BFA4',"
auth,src/features/auth/components/ChoiceChip.tsx,56,#4F4B48,hex,textPrimary,토큰없음,11.2,"color: '#4F4B48',"
auth,src/features/auth/components/ChoiceChip.tsx,61,#168F77,hex,secondary,토큰없음,14.1,"color: '#168F77',"
auth,src/features/auth/components/FormField.tsx,26,#929292,hex,iconGray,근접-판단필요,6.5,"<Ionicons color=""#929292"" name={icon} size={21} />"
auth,src/features/auth/components/FormField.tsx,29,#A7A7A7,hex,textTertiary,근접-판단필요,5.3,"placeholderTextColor=""#A7A7A7"""
auth,src/features/auth/components/FormField.tsx,41,#929292,hex,iconGray,근접-판단필요,6.5,"color=""#929292"""
auth,src/features/auth/components/FormField.tsx,60,#E4E1DE,hex,divider,유사색-확인필요,2.3,"borderColor: '#E4E1DE',"
auth,src/features/auth/components/LogoutConfirmModal.tsx,59,"rgba(0, 0, 0, 0.48)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"overlay: { alignItems: 'center', backgroundColor: 'rgba(0, 0, 0, 0.48)', flex: 1, justifyContent: 'center', padding: spacing.md },"
auth,src/features/auth/components/PrimaryButton.tsx,17,#FFFFFF,hex,background,정확일치,0.0,"{icon && <Ionicons color=""#FFFFFF"" name={icon} size={22} />}"
auth,src/features/auth/components/PrimaryButton.tsx,25,#FF7B22,hex,primary,토큰없음,14.6,"backgroundColor: '#FF7B22',"
auth,src/features/auth/components/PrimaryButton.tsx,37,#FFFFFF,hex,background,정확일치,0.0,"color: '#FFFFFF',"
auth,src/features/auth/components/SignupProgress.tsx,40,#E9E7E5,hex,divider,유사색-확인필요,1.5,"backgroundColor: '#E9E7E5',"
auth,src/features/auth/components/SignupProgress.tsx,67,#F0EFEE,hex,border,유사색-확인필요,1.7,"backgroundColor: '#F0EFEE',"
auth,src/features/auth/components/SignupProgress.tsx,68,#F0EFEE,hex,border,유사색-확인필요,1.7,"borderColor: '#F0EFEE',"
auth,src/features/auth/components/SignupProgress.tsx,76,#FFF3EA,hex,orangeBg,정확일치,0.0,"backgroundColor: '#FFF3EA',"
auth,src/features/auth/components/SignupProgress.tsx,80,#A9A7A5,hex,textTertiary,근접-판단필요,4.1,"color: '#A9A7A5',"
auth,src/features/auth/components/SignupProgress.tsx,88,#999693,hex,textTertiary,근접-판단필요,6.2,"color: '#999693',"
auth,src/features/auth/components/WithdrawConfirmModal.tsx,74,"rgba(0, 0, 0, 0.48)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"overlay: { alignItems: 'center', backgroundColor: 'rgba(0, 0, 0, 0.48)', flex: 1, justifyContent: 'center', padding: spacing.md },"
auth,src/features/auth/screens/LoginScreen.tsx,25,#03C75A,hex,—,제외-브랜드컬러,24.8,"{ label: '네이버', shortLabel: 'N', backgroundColor: '#03C75A', textColor: '#FFFFFF' },"
auth,src/features/auth/screens/LoginScreen.tsx,25,#FFFFFF,hex,background,정확일치,0.0,"{ label: '네이버', shortLabel: 'N', backgroundColor: '#03C75A', textColor: '#FFFFFF' },"
auth,src/features/auth/screens/LoginScreen.tsx,26,#FEE500,hex,—,제외-브랜드컬러,37.7,"{ label: '카카오', shortLabel: '●', backgroundColor: '#FEE500', textColor: '#191919' },"
auth,src/features/auth/screens/LoginScreen.tsx,26,#191919,hex,—,제외-브랜드컬러,11.7,"{ label: '카카오', shortLabel: '●', backgroundColor: '#FEE500', textColor: '#191919' },"
auth,src/features/auth/screens/LoginScreen.tsx,27,#FFFFFF,hex,background,정확일치,0.0,"{ label: '구글', shortLabel: 'G', backgroundColor: '#FFFFFF', textColor: '#4285F4' },"
auth,src/features/auth/screens/LoginScreen.tsx,27,#4285F4,hex,—,제외-브랜드컬러,64.0,"{ label: '구글', shortLabel: 'G', backgroundColor: '#FFFFFF', textColor: '#4285F4' },"
auth,src/features/auth/screens/LoginScreen.tsx,110,#FFFFFF,hex,background,정확일치,0.0,"{remember && <Ionicons color=""#FFFFFF"" name=""checkmark"" size={13} />}"
auth,src/features/auth/screens/LoginScreen.tsx,161,#FFFFFF,hex,background,정확일치,0.0,"safeArea: { backgroundColor: '#FFFFFF', flex: 1 },"
auth,src/features/auth/screens/LoginScreen.tsx,181,#D8D4D0,hex,divider,근접-판단필요,6.4,"borderColor: '#D8D4D0',"
auth,src/features/auth/screens/LoginScreen.tsx,189,#66615E,hex,textSecondary,토큰없음,10.1,"optionText: { color: '#66615E', fontSize: 13 },"
auth,src/features/auth/screens/LoginScreen.tsx,191,#EEEAE7,hex,border,유사색-확인필요,1.9,"divider: { backgroundColor: '#EEEAE7', flex: 1, height: 1 },"
auth,src/features/auth/screens/LoginScreen.tsx,192,#8B8784,hex,iconGray,근접-판단필요,4.7,"dividerText: { color: '#8B8784', fontSize: 12 },"
auth,src/features/auth/screens/LoginScreen.tsx,196,#E6E2DF,hex,divider,유사색-확인필요,2.3,"borderColor: '#E6E2DF',"
auth,src/features/auth/screens/LoginScreen.tsx,207,#F1E8E1,hex,basaltSoft,유사색-확인필요,3.4,"borderColor: '#F1E8E1',"
auth,src/features/auth/screens/LoginScreen.tsx,216,#5D5855,hex,textSecondary,토큰없음,13.7,"signupPromptText: { color: '#5D5855', fontSize: 14 },"
auth,src/features/auth/screens/SignupScreen.tsx,308,#77726E,hex,textSecondary,근접-판단필요,4.2,"<Ionicons color=""#77726E"" name=""location-outline"" size={21} />"
auth,src/features/auth/screens/SignupScreen.tsx,317,#AAA6A2,hex,textTertiary,유사색-확인필요,2.9,"placeholderTextColor=""#AAA6A2"""
auth,src/features/auth/screens/SignupScreen.tsx,357,#C7C3BF,hex,textTertiary,토큰없음,11.9,color={data.travel.companions <= 1 ? '#C7C3BF' : colors.textPrimary}
auth,src/features/auth/screens/SignupScreen.tsx,384,#FF932F,hex,orangeIcon,토큰없음,15.3,"<Ionicons color=""#FF932F"" name=""sunny"" size={28} />"
